alt,density,pressure,temperature,windsE,windsN,windsV
0,1.1635,101250,299.78,-5.66,0.35,0
140.1401401,1.148184585,99600.36036,299.0272573,-5.27957958,-0.172532533,0
280.2802803,1.13292973,97982.3964,298.3005706,-4.859159159,-0.592672673,0
420.4204204,1.117996697,96403.55856,297.5776877,-4.311771772,-0.837747748,0
560.5605606,1.103683383,94865.4955,296.7948048,-3.532692693,-0.668878879,0
700.7007007,1.089928529,93358.57257,295.8957257,-2.524674675,-0.347967968,0
840.8408408,1.075470871,91874.72072,295.0612913,-1.422852853,-0.08042042,0
980.980981,1.061020921,90405.36837,294.2603103,-0.288348348,-0.344844845,0
1121.121121,1.047493493,88957.71972,293.554955,0.673063063,-1.128408408,0
1261.261261,1.033935135,87528.1982,292.9181982,1.464054054,-2.050810811,0
1401.401401,1.01995986,86114.07007,292.2931331,2.002242242,-2.651541542,0
1541.541542,1.005746446,84719,291.6355255,2.097687688,-2.735075075,0
1681.681682,0.991182282,83327.16817,291.0387688,1.773123123,-2.634654655,0
1821.821822,0.977126186,81963.07407,290.3730731,1.170530531,-2.297627628,0
1961.961962,0.963467848,80622.36136,289.6554054,0.583563564,-1.917917918,0
2102.102102,0.950275976,79303.49249,288.8582282,0.12978979,-1.485165165,0
2242.242242,0.937383283,78008.06106,288.0734434,0.124224224,-1.171291291,0
2382.382382,0.924843874,76733.43944,287.2721822,0.245335335,-1.041761762,0
2522.522523,0.912756847,75481,286.4403604,0.294234234,-1.071531532,0
2662.662663,0.900965135,74243.44845,285.5777578,0.127207207,-1.248928929,0
2802.802803,0.889267367,73023.95195,284.7123423,-0.063363363,-1.432522523,0
2942.942943,0.87770015,71825.84384,283.8165766,-0.21006006,-1.532882883,0
3083.083083,0.866353504,70645.76376,282.8833433,-0.29984985,-1.591541542,0
3223.223223,0.854968539,69468.996,281.976016,-0.56038038,-1.607677678,0
3363.363363,0.843233814,68292.54955,281.1134835,-1.026126126,-1.587327327,0
3503.503504,0.831507457,67133.44645,280.2596797,-1.668918919,-1.591751752,0
3643.643644,0.819831942,65995.23223,279.45996,-2.443133133,-1.674914915,0
3783.783784,0.808281351,64874.08108,278.6891892,-3.306216216,-1.761891892,0
3923.923924,0.796928909,63773.11111,277.9184184,-4.26029029,-1.76043043,0
4064.064064,0.785733313,62690.62863,277.1412412,-5.167197197,-1.665935936,0
4204.204204,0.774681231,61626.55255,276.3677177,-5.948498498,-1.482852853,0
4344.344344,0.763748879,60582.2953,275.6294094,-6.520770771,-1.24018018,0
4484.484484,0.75267969,59543.28028,274.9429229,-6.845175175,-0.996376376,0
4624.624625,0.741561892,58511.73273,274.2893393,-7.002162162,-0.775525526,0
4764.764765,0.730653684,57496.69369,273.5961762,-7.108858859,-0.572852853,0
4904.904905,0.719898208,56498.56757,272.8954755,-7.15950951,-0.341661662,0
5045.045045,0.709311622,55519.28829,272.2037838,-7.122972973,-0.103423423,0
5185.185185,0.698877778,54556.33333,271.5140741,-7.03037037,0.117777778,0
5325.325325,0.688641512,53609.82683,270.7983083,-6.952272272,0.322922923,0
5465.465465,0.678575766,52678.27327,270.063033,-6.867267267,0.492012012,0
5605.605606,0.668670971,51760.8999,269.3091692,-6.748228228,0.623923924,0
5745.745746,0.658986416,50862.05706,268.5338238,-6.403613614,0.717447447,0
5885.885886,0.649472703,49974.2012,267.7318619,-5.886456456,0.775765766,0
6026.026026,0.64006968,49083.03604,266.8582282,-5.181651652,0.828218218,0
6166.166166,0.630872583,48204.12312,265.9200701,-4.32991992,0.93954955,0
6306.306306,0.621862072,47338.53153,264.9445946,-3.237567568,1.121351351,0
6446.446446,0.613047097,46487.39239,263.9402302,-1.822312312,1.387537538,0
6586.586587,0.604348949,45648.94394,262.9279179,-0.307547548,1.699149149,0
6726.726727,0.595795706,44824.45045,261.9048949,1.297357357,2.016126126,0
6866.866867,0.587384735,44012.84685,260.8684985,2.942402402,2.303733734,0
7007.007007,0.579132192,43211.48048,259.7746446,4.623383383,2.548408408,0
7147.147147,0.570985465,42423.91892,258.676967,6.276906907,2.693003003,0
7287.287287,0.56290971,41648.04705,257.6153453,7.893803804,2.756186186,0
7427.427427,0.554894865,40886.71471,256.5642943,9.397987988,2.706286286,0
7567.567568,0.546989459,40134.83784,255.4794595,10.63972973,2.494324324,0
7707.707708,0.539019119,39368.14715,254.3075676,11.62932933,1.998398398,0
7847.847848,0.531022242,38610.53554,253.1724324,12.50708709,1.419039039,0
7987.987988,0.523097477,37866.42342,252.0636937,13.28633634,0.821651652,0
8128.128128,0.51527014,37137.14014,250.964975,13.92032032,0.213423423,0
8268.268268,0.507596206,36420.1972,249.8438539,14.20922923,-0.424034034,0
8408.408408,0.500051832,35716.46246,248.7235736,14.38924925,-1.08036036,0
8548.548549,0.492611491,35028.05405,247.6213213,14.51912913,-1.767597598,0
8688.688689,0.485279319,34354.06807,246.5370971,14.57660661,-2.508918919,0
8828.828829,0.478104144,33694.23423,245.4451351,14.41657658,-3.307207207,0
8968.968969,0.471068448,33048.81181,244.3451451,14.12206206,-4.092432432,0
9109.109109,0.464146386,32415.55556,243.2598599,13.8918018,-4.78008008,0
9249.249249,0.457341261,31796.28829,242.1758559,13.80507508,-5.352372372,0
9389.389389,0.450617187,31187.83784,241.0827628,13.84469469,-5.771351351,0
9529.52953,0.444026877,30589.38539,239.9767167,14.03315315,-5.887717718,0
9669.66967,0.437496426,29997.2973,238.8417417,14.34114114,-5.916066066,0
9809.80981,0.43083992,29398.21021,237.6756356,14.77825826,-5.839209209,0
9949.94995,0.424282332,28804.21021,236.4754254,15.37475475,-5.685055055,0
10090.09009,0.417796847,28216.52252,235.2662162,16.25063063,-5.413783784,0
10230.23023,0.411374525,27636.75375,234.0279279,17.363003,-5.043263263,0
10370.37037,0.405019259,27065,232.7737037,18.64555556,-4.580740741,0
10510.51051,0.398712282,26500.16817,231.5285586,20.06561562,-4.026906907,0
10650.65065,0.392465916,25941.9039,230.2789489,21.69326326,-3.361161161,0
10790.79079,0.386228889,25385.46847,228.9574875,23.55475475,-2.47985986,0
10930.93093,0.379900781,24829.96697,227.6894595,25.47447447,-1.524204204,0
11071.07107,0.373237017,24271.55856,226.5543243,27.33813814,-0.501181181,0
11211.21121,0.366571862,23719.93994,225.4303103,29.19359359,0.501841842,0
11351.35135,0.359819459,23169.18919,224.3143243,31.11864865,1.535135135,0
11491.49149,0.353059259,22622.0981,223.2255155,33.06173173,2.54958959,0
11631.63163,0.34644025,22063.3003,221.883994,35.4813013,3.413363363,0
11771.77177,0.340091562,21512.33934,220.3960661,37.81594595,3.845075075,0
11911.91191,0.333231081,21028.56857,219.868999,38.66720721,4.93028028,0
12052.05205,0.326404655,20502.2022,218.863994,39.98572573,5.637387387,0
12192.19219,0.318399399,19891.30631,217.7063664,42.03726727,5.634834835,0
12332.33233,0.31173964,19421.43944,217.1136036,42.03314314,5.906326326,0
12472.47247,0.305516096,18986.86887,216.5583684,41.18881882,6.561181181,0
12612.61261,0.298355495,18500.86486,216.0846847,40.51306306,6.58990991,0
12752.75275,0.291220711,18025.80581,215.7081181,39.58435435,6.446146146,0
12892.89289,0.284176066,17564.24024,215.4042142,38.43112112,6.203503504,0
